Title,Production Budget,Distributor,Major Genre,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Constant Gardener,25500000,Focus Features,Drama,Fernando Meirelles,83,7.6,50763
Secret Window,40000000,Sony Pictures,Thriller/Suspense,David Koepp,46,6.5,53868
Happy Gilmore,10000000,Universal,Comedy,Dennis Dugan,58,6.9,54111
Pitch Black,23000000,USA Films,Horror,David Twohy,55,7,55217
Glory,18000000,Sony Pictures,Action,Edward Zwick,93,8,56427
Madagascar,75000000,Dreamworks SKG,Adventure,Eric Darnell,55,6.6,56480
Swordfish,80000000,Warner Bros.,Action,Dominic Sena,25,6.3,57952
The Bridge on the River Kwai,3000000,Sony/Columbia,Drama,David Lean,95,8.4,58641
Hostel,4800000,Lionsgate,Horror,Eli Roth,,5.7,64642
Snakes on a Plane,33000000,New Line,Thriller/Suspense,David R. Ellis,68,6,65841
Three Kings,48000000,Warner Bros.,Action,David O. Russell,94,7.3,68726
Jumper,82500000,20th Century Fox,Adventure,Doug Liman,17,5.9,69161
Harry Potter and the Half-Blood Prince,250000000,Warner Bros.,Adventure,David Yates,83,7.3,73720
The Italian Job,60000000,Paramount Pictures,Adventure,F. Gary Gray,73,6.9,76835
Lawrence of Arabia,15000000,Sony Pictures,Adventure,David Lean,98,8.6,79421
The Godfather: Part III,54000000,Paramount Pictures,Drama,Francis Ford Coppola,,7.6,82977
Mulholland Drive,15000000,Universal,Drama,David Lynch,81,7.9,103026
Harry Potter and the Order of the Phoenix,150000000,Warner Bros.,Adventure,David Yates,78,7.4,104074
The Last Samurai,120000000,Warner Bros.,Action,Edward Zwick,65,7.8,106002
The Simpsons Movie,72500000,20th Century Fox,Comedy,David Silverman,89,7.6,117656
Blood Diamond,100000000,Warner Bros.,Action,Edward Zwick,62,8,118925
The Bourne Identity,60000000,Universal,Action,Doug Liman,82,7.7,122597
Hot Fuzz,16000000,Focus Features,Comedy,Edgar Wright,91,8,129779
The Godfather: Part II,13000000,Paramount Pictures,,Francis Ford Coppola,,9,245271
The Godfather,7000000,Paramount Pictures,,Francis Ford Coppola,100,9.2,411088
